# z 		logbh 	  	  err	      logedd_ratio 
 4.45780         9.388            0.121       -0.379 
 4.02180         9.165            0.258       -0.285 
 4.04510         9.732            0.069       -0.647 
 4.17300         9.782            0.362       -0.946 
 4.19280         9.835            0.100       -0.610 
 4.57610         8.384            1.962        0.581 
 4.58290         9.693            0.572       -0.733 
 4.24440         8.712            1.714        0.154 
 4.40640         9.950            0.325       -0.876 
 4.67000        10.397            0.087       -1.021 
 4.02840         8.234            0.128        0.172 
 4.05350         9.856            0.220       -0.784 
 4.84980         9.707            0.381       -0.896 
 4.22000         8.440            0.338        0.510 
 4.23020         8.844            0.254       -0.097 
 4.08170        10.141            0.700       -1.290 
 4.71350         9.827            0.445       -0.744 
 4.13690         8.698            0.416        0.227 
 4.34000         9.093            0.746       -0.686 
 4.00160         9.508            0.451       -0.411 
 4.30780        10.038            0.116       -0.654 
 4.51000        10.347            0.103       -0.500 
 4.47130         9.212            0.242       -0.597 
 4.79390         9.575            0.426       -0.608 
 4.57340         9.958            0.622       -1.120 
 4.20850         9.645            0.210       -0.603 
 4.43660         9.054            0.857        0.017 
 4.04590         9.436            0.296       -0.236 
 4.36220         9.859            0.040       -0.382 
 4.05830         8.848            0.340        0.053 
 4.73030         8.450            0.479        0.670 
 4.25960         9.462            0.159       -0.331 
 4.21640         9.017            0.078        0.179 
 4.66750        10.318            0.209       -1.355 
 4.20970         9.063            0.279       -0.068 
 4.12450         9.047            0.129       -0.413 
 4.41970         8.921            0.520        0.112 
 4.56180        10.108            0.420       -0.886 
 4.09490         9.019            0.132        0.045 
 4.27350         9.201            0.128       -0.367 
 4.22470         9.656            0.213       -0.728 
 4.23040         9.905            0.322       -0.895 
 4.17100         9.311            0.308       -0.397 
 4.01680         9.622            0.391       -0.393 
 4.12280         9.770            0.169       -0.712 
 4.44150         9.992            0.114       -0.517 
 4.13480         8.865            0.269       -0.374 
 4.13530         9.761            0.185       -0.650 
 4.07390         9.036            0.369       -0.497 
 4.04560         8.624            0.149        0.331 
 4.16100        10.200            0.154       -0.640 
 4.69630         9.856            0.943       -0.768 
 4.20340         9.545            0.114       -0.640 
 4.05240         8.600            0.585        0.430 
 4.90010         9.820            0.123       -1.250 
 4.21240         9.561            0.141       -0.390 
 4.45900        10.111            1.003       -0.719 
 4.05850         9.096            0.067       -0.241 
 4.78050        10.107            0.450       -1.338 
 4.03660         9.624            0.155       -0.363 
 4.05730         9.746            0.101       -0.596 
 4.54250         9.719            0.289       -0.977 
 4.23870         9.792            0.274       -1.015 
 4.30960         9.686            0.227       -0.737 
 4.03700         9.635            0.093       -0.561 
 4.46660         9.859            1.218       -0.708 
 4.32940         9.615            0.154       -0.549 
 4.21370         9.677            0.112       -0.777 
 4.07650         8.674            0.189        0.229 
 4.13810         9.519            0.083       -0.329 
 4.87380         9.409            0.285       -0.518 
 4.24530         8.355            0.690        0.244 
 4.45240         9.031            0.324        0.044 
 4.31250         9.932            0.204       -0.417 
 4.16020         9.002            0.217       -0.300 
 4.58630        10.409            0.147       -1.177 
 4.16200         9.521            0.108       -1.085 
 4.18230         9.181            0.148       -0.350 
 4.23720         9.579            0.142       -0.821 
 4.28920         9.214            0.115       -0.380 
 4.43350         9.707            0.182       -0.508 
