#  sigmarray   fwhmarray   lumiarray
#
       31.46        38.4       511.6
       27.65          41       480.2
       25.71        41.3       479.1
       24.81        43.6       470.3
       26.33        42.1       489.3
       25.61        45.9       477.5
       21.94        42.2       465.3
       25.15        40.9       462.4
       27.81        41.6       501.5
       20.14        42.7       435.4
        22.7        43.1       457.6
       27.66          42       521.3
       26.43        41.9       506.6
       29.76        44.4       518.5
       30.52        38.4       524.6
       28.24        41.8       476.9
       24.07        48.3       474.2
       23.73        43.7       497.7
       33.57        42.8       490.2
       26.71          42       516.6
       39.78        42.3       550.9
       24.37        42.8       480.2
       25.53        41.9       475.5
        26.3        39.7       481.7
        25.6        41.7       484.4
       25.23        39.2       467.9
       24.02        45.7       499.1
        26.3        40.8       502.2
       34.33        38.6       559.6
        23.3        39.4       445.6
       26.36        42.2       490.3
       23.13        36.2       441.4
       24.96        43.1       479.1
       25.07        40.1       458.9
       25.97        40.8       476.7
       26.05          40       483.5
       33.38        43.7       542.3
       26.03        44.2       479.1
       22.78        39.8         446
       24.95        44.9       509.7
       28.69        41.6       479.4
       24.78        36.7         473
       29.06          41       516.2
       24.21        40.4       490.6
       24.72        40.5       471.9
       32.58        44.1       514.6
       24.44          44       475.5
        22.6        40.3       451.1
       23.21        46.7       469.5
       28.21        41.2       460.5
       24.11        40.8       496.5
       23.93        37.7       464.7
       25.62        43.4       493.1
       26.11          40       459.5
       25.43        41.7         452
       29.72        39.8       492.2
       39.11        42.5       571.7
       34.53        38.3       527.3
       25.97        40.9       485.5
       43.22        38.3       569.3
        27.9        38.7       499.8
       22.36        42.6       466.9
       26.87        38.5       481.6
       34.52        44.8       548.3
       25.86        40.8       481.3
       28.24        39.5       485.8
       27.58        42.1       487.2
       26.01        45.5       487.7
       27.06          44       536.4
       23.97        37.3       459.4
       25.16        42.5       489.2
       21.53        38.6       458.9
       25.85        39.7       487.5
        28.2        42.7         485
        23.8        39.2       480.7
       27.26        44.2       477.5
       26.05        45.9       497.2
        27.6        38.8       489.3
       26.06        41.6         498
       31.46        37.2       528.8
       32.04        41.2       468.1
       25.41        39.9       477.9
       23.64        38.3       461.9
       41.56        34.8       572.5
       23.92        42.3       463.4
        25.3          40       500.7
       26.17        40.9       494.1
       26.65        40.1       504.4
       23.18          43       488.9
       25.27        42.8       476.9
       28.09        44.1       499.6
       26.05        44.3       487.1
        26.1        49.9       467.9
       24.99        40.8       485.3
       23.82        42.2       470.6
       26.39        39.8       482.6
       25.38        42.1       466.6
       30.25        48.9       520.1
       20.13        44.4       455.5
       28.28        41.1         519
       23.12        39.8         471
       26.79        41.2       488.7
       25.61        40.4       487.6
        26.2        43.2       491.2
       29.62        36.4       492.8
       27.04        36.7       459.9
       28.77        41.3         485
       25.28          41       485.3
        24.1        39.3       488.6
       26.66        44.5       505.3
        23.7        42.6       475.1
       23.73        41.6       467.8
       40.63        40.4       547.4
       24.91        40.4         462
        24.1        40.4       454.3
       21.63        44.2       418.4
       33.69        41.2       508.3
       32.82        41.7       510.7
       21.54        41.1       442.1
       29.77        42.6       502.1
       26.63        40.5       515.8
       25.84        38.5       498.5
       30.36        38.3       511.3
       27.97        42.7       492.2
       25.93        44.5       488.7
       24.51        42.2       474.8
        24.2        44.3       490.8
        24.4        41.2       473.1
        24.9        40.8       502.5
       25.95        41.4       473.8
       28.83        42.3         486
       24.87        40.2       474.3
       25.03        41.4       478.7
       25.62        45.3       504.4
       31.81        38.6       526.6
       26.09        43.4       457.6
       33.62        40.5       537.6
       24.94        41.8       473.9
       22.03        44.7       481.4
       25.48          41       470.4
       35.94        47.3         546
        27.1        40.7       496.6
       28.62        41.1       491.8
       30.74        39.8       510.7
       27.89        44.6       501.1
       24.56        41.1       464.4
       25.87        38.7       493.7
       30.86          41       529.7
       23.15        45.4       478.3
       23.57        48.2       489.3
       21.42        46.6       451.9
       27.03        43.7         492
       24.48        39.9       476.8
       28.16        42.3       510.6
       26.27        43.5       496.4
       26.41        36.5       477.1
       22.59        39.1       465.4
       28.48        40.8         497
       40.73        36.6       587.2
       25.22        40.8       466.7
        28.1        41.8       500.6
        25.5        41.3       513.2
       29.61        47.4       536.7
       29.54        41.4       480.9
       24.86        42.3       457.8
       34.42        40.6         537
       25.88        41.1       503.8
       33.08        39.9       508.4
       24.34        40.1       468.7
       24.26        43.5       487.2
       23.35        43.8       476.3
       33.83        40.8       496.4
       28.61        42.5       502.6
        26.6        46.8       476.4
       32.19        36.8       488.7
       23.22          47         465
          27        35.9       492.2
       24.71        40.8         461
       24.35        39.2       475.2
       25.27        41.2       497.6
       28.71          42       516.5
       25.58          43       488.6
       32.95        47.2       508.4
       31.58          42       479.4
        24.4        39.7       491.3
       24.84        41.1         482
       23.63        42.5       474.6
       29.88        40.8       515.9
       26.07        45.8       549.6
       24.15        42.3       471.4
       29.05        41.8       482.9
       25.18        43.4       491.3
       28.13        41.1       510.2
       25.75          42       472.9
