 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J093106+141415 1.09970    201  18.569       8.880           0.123           0.000              -1.000 
 GB6J093128+484050 2.10130     86  19.267       9.237           0.092           9.237               0.092 
 GB6J093240+530635 0.59690    388  18.900       7.943           0.128           0.000              -1.000 
 GB6J093257+074200 1.00370     51  18.122       9.018           0.057           0.000              -1.000 
 GB6J093309+610635 1.91080     87  20.448       8.075           0.155           8.075               0.155 
 GB6J093330+414902 0.93250     30  19.401       8.554           0.097           0.000              -1.000 
 GB6J093453+160408 3.06870     32  19.207       9.510           0.048           9.510               0.048 
 GB6J093513+091513 1.48430    290  19.337       8.918           0.076           0.000              -1.000 
 GB6J093523+240508 2.75260    184  19.934       8.590           0.117           8.590               0.117 
 GB6J093530+192929 1.10240    286  18.264       9.103           0.071           0.000              -1.000 
 GB6J093531+363307 2.85760    241  18.401       8.860           0.043           8.860               0.043 
 GB6J093711+500845 0.27570    315  18.894       8.296           0.161           0.000              -1.000 
 GB6J093910+032644 2.63830     40  19.956       9.200           0.099           9.200               0.099 
 GB6J093910+641447 2.35580     49  19.262       8.999           0.172           8.999               0.172 
 GB6J093913+165649 0.50150     83  19.383       7.644           0.860           0.000              -1.000 
 GB6J093942+353038 1.47420     76  18.483       8.997           0.103           0.000              -1.000 
 GB6J093949+414201 1.22340    233  18.685       9.347           0.108           0.000              -1.000 
 GB6J094012+262721 0.63560     83  20.653      10.260           0.352           0.000              -1.000 
 GB6J094017+232837 1.97440     31  20.304       8.718           0.074           8.718               0.074 
 GB6J094019+301504 1.59470    104  18.655       9.138           0.043           9.438               0.068 
 GB6J094114+114536 3.19460    123  19.264       8.782           0.045           8.782               0.045 
 GB6J094115+184514 2.10450     52  17.239       9.700           0.029           9.700               0.029 
 GB6J094139+085052 0.93940     51  20.128       9.049           0.066           0.000              -1.000 
 GB6J094147+272813 1.30630    223  18.899       8.689           0.064           0.000              -1.000 
 GB6J094248+041024 1.67850    130  19.333       9.048           0.045           9.239               0.108 
 GB6J094421+613543 0.79200     76  18.475       8.595           0.078           0.000              -1.000 
 GB6J094538+353452 1.12680    312  18.193       9.033           0.075           0.000              -1.000 
 GB6J094557+601240 2.50980     77  18.879       9.114           0.058           9.114               0.058 
 GB6J094635+101659 1.00550    320  19.210       8.525           0.054           0.000              -1.000 
 GB6J094646+431747 1.48990     58  20.242       9.153           0.094           0.000              -1.000 
 GB6J094733+511529 1.93130     32  19.236       9.172           0.196           9.172               0.196 
 GB6J094745+111348 1.77310    207  18.701       9.161           0.159           8.577               0.045 
 GB6J094844+160858 1.72390     60  18.731       8.969           0.843           0.000              -1.000 
 GB6J094855+403956 1.24860   1801  17.608       9.354           0.161           0.000              -1.000 
 GB6J094857+002224 0.58460    295  18.500       7.777           0.330           0.000              -1.000 
 GB6J094938+175256 0.69330    193  17.402       9.314           0.347           0.000              -1.000 
 GB6J095034+274319 2.35600     90  19.024       9.422           0.057           9.422               0.057 
 GB6J095146+173616 0.89460     61  19.592       8.214           0.040           0.000              -1.000 
 GB6J095207+235248 0.97090     51  17.841       9.324           0.093           0.000              -1.000 
 GB6J095226+360613 2.06110     86  18.337       9.089           0.078           9.089               0.078 
 GB6J095227+504837 1.09070    104  17.593       9.346           0.050           0.000              -1.000 
