classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii
GB6J131454+474308	68	20.981	1	3.695850	198.724537	47.716671	68.9068
GB6J131459+145726	38	21.474	4	0.567870	198.739171	14.961613	76.6593
GB6J131502+122052	264	19.221	1	0.259340	198.757725	12.347957	74.2190
GB6J131511+315658	88	22.070	0	0.000000	198.794031	31.954884	82.9347
GB6J131513+284059	95	19.872	1	1.576000	198.806219	28.681578	84.5206
GB6J131523+611028	32	22.182	0	0.000000	198.837490	61.180904	55.7093
GB6J131526+614130	63	18.301	1	1.571790	198.858332	61.692520	55.2030
GB6J131529+281103	34	19.156	1	0.655880	198.878045	28.188816	84.5652
GB6J131537+600903	36	20.347	0	0.000000	198.895469	60.147381	56.7235
GB6J131548+565726	47	21.704	1	2.586470	198.952403	56.951412	59.8625
GB6J131556+173628	100	20.020	1	1.950000	198.984775	17.612381	78.9310
GB6J131622+050518	128	20.590	1	0.617220	199.095655	5.081296	67.1656
GB6J131627+672624	174	20.209	0	0.000000	199.113335	67.440071	49.5085
GB6J131640+240420	39	21.830	0	0.000000	199.165678	24.074291	83.5462
GB6J131655+430905	55	23.220	0	0.000000	199.228606	43.146545	73.1695
GB6J131721+665552	125	19.843	0	0.000000	199.338913	66.929161	50.0001
GB6J131729+060048	38	19.125	1	2.635570	199.369354	6.012898	67.9948
GB6J131736+342514	336	18.231	1	1.055000	199.402056	34.421089	80.7974
GB6J131739+411538	195	16.854	4	0.067000	199.413314	41.262673	74.8738
GB6J131813+180657	131	19.436	1	2.075420	199.559541	18.120779	79.0795
GB6J131820+353149	34	18.841	0	0.000000	199.581685	35.534775	79.8262
GB6J131829+042955	222	21.956	0	0.000000	199.623513	4.502775	66.4718
GB6J131839+675440	56	20.829	0	0.000000	199.667916	67.906685	49.0149
GB6J131902+522800	60	22.735	0	0.000000	199.757953	52.463982	64.1437
GB6J131904+103929	166	19.839	1	0.292830	199.763718	10.659773	72.2947
GB6J131907+621725	144	19.186	1	3.070835	199.781184	62.289261	54.5400
GB6J131916+675921	32	21.646	0	0.000000	199.818492	67.986008	48.9275
GB6J131927+443325	31	21.643	0	0.000000	199.862351	44.563339	71.6820
GB6J131932+140534	57	17.678	6	0.573000	199.882264	14.092536	75.4100
GB6J131941+162836	44	18.064	4	0.158730	199.922476	16.481289	77.5031
GB6J131947+514759	614	16.770	1	1.060000	199.942474	51.801609	64.7563
GB6J132011+585436	59	19.390	1	1.955010	200.052338	58.911533	57.8254
GB6J132017+603537	38	18.662	1	0.839240	200.072036	60.592216	56.1784
GB6J132027+014048	541	20.108	1	1.235000	200.111647	1.676887	63.6157
GB6J132033+331204	32	17.937	1	0.921710	200.138397	33.195068	81.2635
GB6J132042+444725	36	22.010	0	0.000000	200.181484	44.792530	71.3878
GB6J132047+224252	31	23.118	0	0.000000	200.190625	22.722189	82.0270
GB6J132052+454050	129	20.251	1	2.349410	200.215330	45.686169	70.5419
GB6J132111+221553	458	18.732	1	0.943000	200.296683	22.270027	81.6812
GB6J132118+190420	100	22.485	0	0.000000	200.322118	19.071375	79.4216
