classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J113054+381510	769	18.754	1	1.733	172.722015	38.25515	69.7979	174.4539	0.098	18.673499357088254
GB6J113223+445514	176	19.741	1	2.4649	173.099041	44.919548	66.2152	159.3444	0.11	19.650642135507223
GB6J113720+293537	87	19.564	1	2.64943	174.33702	29.594198	73.5337	199.9731	0.101	19.481035051692995
GB6J114156+494506	113	19.898	1	2.80789	175.478439	49.751823	63.7401	148.7951	0.078	19.833928059723302
GB6J114340+661944	115	19.818	1	2.579343	175.908823	66.328857	49.4126	133.2965	0.047	19.779392548807632
GB6J114342+663329	245	19.163	1	2.328	175.923357	66.55867	49.2041	133.1481	0.047	19.12439254880763
GB6J114814+525854	65	20.071	1	3.173958	177.067108	52.983147	61.6034	143.0849	0.077	20.00774949485506
GB6J114856+525432	288	16.555	1	1.632	177.235723	52.907036	61.7206	142.9819	0.08	16.4892851894598
GB6J120140+111453	160	19.639	1	2.29642	180.417724	11.246562	70.2761	264.1676	0.093	19.562606532747015
GB6J120436+522844	213	18.293	1	2.73232	181.153335	52.478271	63.1809	138.8278	0.086	18.222356578669284
GB6J120501+430024	64	18.907	1	2.95644	181.263156	42.999447	71.5487	150.6096	0.056	18.86099963262186
GB6J120636+394051	190	18.649	1	1.51722	181.654401	39.684372	74.3714	156.649	0.144	18.53071334102764
GB6J120726+275502	457	18.775	1	2.18	181.86626	27.916346	80.2225	205.7784	0.088	18.702713708405778
GB6J121107+182033	381	18.715	1	1.50151	182.777867	18.342852	77.2193	254.2477	0.138	18.601641951818152
GB6J121254+245337	91	19.033	1	2.38684	183.23257	24.892321	81.0669	225.2734	0.104	18.94757074629774
GB6J121422+513350	41	18.938	1	3.294456	183.590684	51.55917	64.5868	136.4255	0.1	18.85585648682475
GB6J121547+642225	79	18.585	1	3.233	183.953776	64.374573	52.3166	129.2198	0.116	18.48971352471671
GB6J121710+583523	306	19.064	1	2.55	184.295912	58.590618	57.9745	131.3466	0.072	19.00485667051382
GB6J121732+330536	117	18.352	1	2.606	184.38559	33.093891	80.5555	171.7244	0.058	18.304356762358356
GB6J122657+434101	154	19.235	1	2.009	186.741271	43.682899	72.7235	137.9736	0.09	19.161070838142273
GB6J122729+135627	89	20.09	1	3.347646	186.869902	13.941862	75.6773	278.7667	0.153	19.964320424841866
GB6J122825+312841	345	15.837	1	2.195	187.10402	31.477118	83.3612	170.6436	0.078	15.772928059723304
GB6J122847+370610	856	18.167	1	1.517	187.197604	37.103355	78.9381	147.1418	0.063	18.115249586699594
GB6J122851+485813	350	18.619	1	1.719	187.2157	48.967026	67.7291	132.74	0.064	18.566428151567838
GB6J123223+195928	74	20.006	1	2.61015	188.096538	19.996092	81.6402	270.4751	0.143	19.888534776159393
GB6J123431+645545	59	19.005	1	3.034475	188.632192	64.932373	52.1001	125.8461	0.098	18.92449935708825
GB6J123505+362120	234	18.385	1	1.6	188.7742	36.355362	80.1435	142.5138	0.062	18.334071021831345
GB6J123605+242458	87	19.483	1	2.94401	189.016314	24.411951	85.601	250.2106	0.056	19.43699963262186
GB6J123736+192458	459	18.561	1	1.52753	189.40175	19.411285	81.6563	279.8537	0.118	18.464070654453202
GB6J124114+252408	49	19.001	1	3.055766	190.310826	25.407463	87.1394	249.3409	0.056	18.95499963262186
GB6J124210+024112	56	19.966	1	3.175296	190.544844	2.680378	65.4519	297.3598	0.098	19.885499357088253
GB6J124210+371944	372	19.37	1	3.824372	190.540895	37.334911	79.6077	133.2033	0.065	19.316606716436088
GB6J124708+274118	168	19.302	1	2.43554	191.787643	27.689703	88.8953	182.1403	0.057	19.255178197490107
GB6J125428+453607	151	18.657	1	1.64662	193.620114	45.6012	71.5171	121.2527	0.088	18.58471370840578
GB6J125915+101633	56	19.937	1	3.004768	194.815478	10.277568	73.0487	309.5469	0.08	19.8712851894598
GB6J130222+270911	68	19.357	1	3.426065	195.586353	27.161558	87.5732	34.3402	0.04	19.3241425947299
GB6J130252+232245	60	19.113	1	3.187789	195.724196	23.388653	85.451	338.2701	0.08	19.0472851894598
GB6J130603+552947	249	18.24	1	1.601	196.513953	55.495514	61.5093	118.5907	0.078	18.1759280597233
GB6J130909+555731	423	17.718	1	1.629	197.290635	55.960609	60.9912	117.8153	0.074	17.657213800250315
GB6J130942+404825	131	19.105	1	2.90666	197.422943	40.799225	75.8205	108.6979	0.079	19.04010662459155
GB6J131058+323339	870	18.811	1	1.639	197.747512	32.559566	83.1119	86.1456	0.059	18.7625353272266
GB6J131341+102716	162	18.815	1	2.912	198.423543	10.45399	72.5211	321.4415	0.083	18.746820884064544
GB6J131813+180657	131	19.436	1	2.07542	199.559541	18.120779	79.0795	338.7578	0.087	19.36453514353753
GB6J131907+621725	144	19.186	1	3.070835	199.781184	62.289261	54.54	117.3885	0.108	19.09728500577073
GB6J132211+214803	182	18.802	1	1.68	200.547495	21.803408	81.2106	357.3106	0.088	18.72971370840578
GB6J132254+391208	208	17.619	1	2.985	200.731931	39.202209	76.2587	96.3908	0.053	17.575463938017116
GB6J132702+031258	80	18.967	1	2.83005	201.763401	3.219803	64.6201	324.0656	0.094	18.889785097615263
GB6J132720+432629	576	19.208	1	2.08642	201.837416	43.441109	72.143	101.246	0.07	19.15049954077732
GB6J132900+105259	112	18.866	1	1.93774	202.255912	10.884666	71.5055	333.2919	0.112	18.773999265243717
GB6J133030+495431	110	18.775	1	2.86504	202.622452	49.907635	66.022	107.3429	0.048	18.735571113675878
GB6J133335+164838	615	16.116	1	2.084	203.399091	16.817785	75.8078	348.5064	0.085	16.046178013801036
GB6J133512+025311	144	17.775	1	1.85555	203.799562	2.885949	63.5937	328.1584	0.096	17.696142227351757
GB6J133825+250118	93	19.786	1	2.81798	204.605241	25.023869	79.2464	24.28	0.045	19.749035419071138
GB6J133923+632854	419	19.197	1	2.55997	204.849086	63.482899	52.8157	114.1045	0.101	19.114035051692994
GB6J134023+375458	260	18.443	1	3.113009	205.095649	37.912174	75.1026	82.3589	0.039	18.410964029861653
GB6J134222+511006	129	19.379	1	2.59794	205.60132	51.170124	64.0931	104.4788	0.053	19.335463938017117
GB6J134723+183526	441	19.063	1	2.177	206.847868	18.593773	74.5603	2.3148	0.097	18.983320792220006
GB6J135257+021533	70	19.194	1	2.58863	208.236952	2.257888	61.0952	336.1753	0.108	19.105285005770728
GB6J135350+015154	227	18.678	1	1.608	208.464933	1.864964	60.6411	336.1895	0.11	18.587642135507224
GB6J135549+245307	60	19.269	1	2.68751	208.954468	24.882624	75.3719	27.7135	0.075	19.20739236511856
GB6J140500+041544	1008	19.297	1	3.208	211.254673	4.259944	61.1694	343.6702	0.112	19.204999265243718
GB6J140507+405655	267	19.278	1	2.00839	211.282482	40.949402	69.4874	79.9958	0.071	19.21967810564557
